Initials,Team Number,Match Number,Robot Position,Starting Location,No Show,Taxied,Auto Upper Hub Scored,Auto Upper Hub Missed,Auto Lower Hub Scored,Upper Hub Scored,Lower Hub Scored,Was Defended,Climb,Robot Disabled?,Comments
RO,977,20,Blue 1,Right,FALSE,TRUE,1,1,0,4,0,TRUE,High,FALSE,"Fast driving, got defended by 9991 a little, and messed up climb a bit"
PC,9999,21,Blue 1,Right,FALSE,TRUE,0,0,1,0,3,FALSE,Failed,FALSE,
PV,1599,21,Blue 3,Middle,FALSE,TRUE,0,0,0,0,0,FALSE,NA,FALSE,
Dcd :),1793,21,Red 1,Middle,FALSE,TRUE,2,0,0,0,0,FALSE,Medium,FALSE,Bad aim
RO,3136,21,Blue 2,Left,FALSE,TRUE,2,0,0,7,0,FALSE,Failed,FALSE,"Late climb, accurate but slow shooter, one ball intake??"
IB,2363,21,Red 2,Right,FALSE,TRUE,3,1,0,8,0,FALSE,Failed,FALSE,"Triple Helix missed an overwhelming majority of their shots, but still got a good amount in."
Cm,339,21,Red 3,Left,FALSE,TRUE,1,0,0,0,0,FALSE,NA,FALSE,This team is awful please don't pick them. They scored nothing and screwed thier teams climbing
Dcd :),4561,22,Red 1,Right,FALSE,FALSE,0,0,0,10,0,FALSE,NA,FALSE,Sick lookin bot ngl
IB,346,22,Red 2,Left,FALSE,TRUE,1,1,0,4,0,FALSE,Traversal,FALSE,"Despite shooting excessively high, they made a little over half of their shots"
PV,3737,22,Blue 3,Left,FALSE,TRUE,0,0,1,0,9,FALSE,Medium,FALSE,
ZO,619,22,Blue 1,Middle,FALSE,TRUE,0,0,0,0,0,FALSE,Medium,FALSE,
Cm,9998,22,Red 3,Middle,FALSE,TRUE,0,0,0,0,0,FALSE,NA,FALSE,More harm than help
RO,1908,22,Blue 2,Right,FALSE,TRUE,2,0,0,7,2,FALSE,Failed,FALSE,Late climb
,,,Red 1,Left,FALSE,FALSE,0,0,0,0,0,FALSE,NA,FALSE,
Dcd :),5804,23,Red 1,Left,FALSE,TRUE,0,1,0,3,1,FALSE,Traversal,FALSE,
,,,Red 1,Left,FALSE,FALSE,0,0,0,0,0,FALSE,NA,FALSE,
ZO,8590,23,Blue 2,Left,FALSE,FALSE,1,0,0,0,0,FALSE,NA,TRUE,
IB,1086,23,Red 2,Right,FALSE,TRUE,2,0,0,13,0,FALSE,Medium,FALSE,A little top-heavy
Cm,836,23,Red 1,Left,FALSE,TRUE,2,0,0,8,0,FALSE,Traversal,FALSE,
PV,900,23,Blue 3,Left,FALSE,TRUE,0,0,0,6,0,FALSE,NA,FALSE,
